    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     290       2211.96     0.7429   5.855E+00   1.4000   0.2118   7.156E-17   4.91259015E+00   1.25957549E+01
     295       2237.67     1.0394   5.843E+00   1.4000   0.2153   6.679E-17   4.91168343E+00   1.25771569E+01
     300       2266.69     0.6951   5.813E+00   1.4000   0.2043   6.939E-17   4.91066955E+00   1.25565023E+01
     305       2291.74     1.0675   5.922E+00   1.4000   0.2111   7.177E-17   4.90980216E+00   1.25394953E+01
     310       2321.27     0.7416   5.941E+00   1.4000   0.2268   6.072E-17   4.90878918E+00   1.25203576E+01
     315       2345.97     1.0501   6.001E+00   1.4000   0.2266   6.657E-17   4.90794960E+00   1.25055986E+01
     320        2376.2     0.6902   6.164E+00   1.4000   0.2262   6.765E-17   4.90693197E+00   1.24885357E+01
     325       2406.09     1.0707   6.114E+00   1.4000   0.2260   6.332E-17   4.90593642E+00   1.24727804E+01
     330       2436.15     0.7353   5.944E+00   1.4000   0.2225   6.679E-17   4.90494623E+00   1.24576386E+01
     335          2460     0.7109   5.752E+00   1.4000   0.2063   4.163E-17   4.90416795E+00   1.24463155E+01
     340       2488.63     1.0456   5.692E+00   1.4000   0.2018   6.332E-17   4.90324182E+00   1.24331458E+01
     345       2516.94     0.7132   3.060E+00   0.7573   0.1002   5.811E-17   4.90233355E+00   1.24205646E+01
     350       2542.67     1.0236   5.730E+00   1.4000   0.1992   6.245E-17   4.90151382E+00   1.24095062E+01
     355       2571.43     0.6942   5.696E+00   1.4000   0.2113   6.072E-17   4.90060313E+00   1.23971990E+01
     360       2597.13     1.0027   5.635E+00   1.4000   0.2112   5.660E-17   4.89979353E+00   1.23870467E+01
     365       2625.55     0.6983   5.771E+00   1.4000   0.2243   4.857E-17   4.89890167E+00   1.23764937E+01
     370       2651.52     1.0495   5.823E+00   1.4000   0.2382   4.814E-17   4.89809008E+00   1.23679765E+01
     375       2680.65     0.7171   5.840E+00   1.4000   0.2324   4.684E-17   4.89718324E+00   1.23592959E+01
     380       2705.92     0.9967   5.943E+00   1.4000   0.2486   4.640E-17   4.89639882E+00   1.23527255E+01
     385       2736.02     0.7477   6.129E+00   1.4000   0.2370   4.857E-17   4.89546757E+00   1.23451485E+01
     390        2766.2     1.0329   6.293E+00   1.4000   0.2362   4.890E-17   4.89453593E+00   1.23377094E+01
     395       2798.11     0.6903   6.507E+00   1.4000   0.2185   4.857E-17   4.89355345E+00   1.23291017E+01
     400       2826.53     1.0687   6.508E+00   1.4000   0.1924   4.684E-17   4.89267980E+00   1.23210855E+01
     405       2859.09     0.7127   6.509E+00   1.4000   0.1839   5.085E-17   4.89168093E+00   1.23115829E+01
     410       2886.62     1.0494   6.674E+00   1.4000   0.1789   5.204E-17   4.89083783E+00   1.23042699E+01
     415       2920.01     0.7101   6.718E+00   1.4000   0.1812   4.901E-17   4.88981691E+00   1.22968142E+01
     420       2953.54     1.0521   6.711E+00   1.4000   0.1825   5.204E-17   4.88879388E+00   1.22913572E+01
     425       2986.99     0.8872   6.604E+00   1.4000   0.1831   4.944E-17   4.88777480E+00   1.22871974E+01
     430          3020     1.0292   6.699E+00   1.4000   0.1877   4.890E-17   4.88677060E+00   1.22829461E+01
     435       3053.26     0.7166   6.542E+00   1.4000   0.1760   5.204E-17   4.88576011E+00   1.22774400E+01
     440       3079.83     1.0788   6.792E+00   1.4000   0.1810   4.857E-17   4.88495322E+00   1.22721233E+01
     445       3113.59     0.7097   6.408E+00   1.3127   0.1705   5.551E-17   4.88392786E+00   1.22646158E+01
     450       3147.84     1.0569   7.005E+00   1.4000   0.1793   5.020E-17   4.88288698E+00   1.22571567E+01
     455          3180     0.7130   7.055E+00   1.4000   0.2071   4.337E-17   4.88190814E+00   1.22510327E+01
     460       3215.52     1.0880   7.170E+00   1.4000   0.2079   5.334E-17   4.88082370E+00   1.22439363E+01
     465       3247.02     1.0997   6.911E+00   1.4000   0.1950   5.226E-17   4.87985843E+00   1.22376135E+01
     470       3281.05     0.6915   6.651E+00   1.4000   0.1939   5.117E-17   4.87881068E+00   1.22302571E+01
     475       3313.02     1.0903   6.347E+00   1.4000   0.1762   4.987E-17   4.87782201E+00   1.22233059E+01
