    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     290       4127.71     0.3763   1.144E+01   1.4000   0.3222   2.017E-17   4.88297329E+00   1.20659456E+01
     295       4174.15     0.3616   1.100E+01   1.4000   0.2882   1.908E-17   4.88167913E+00   1.20601378E+01
     300        4221.7     0.3647   1.065E+01   1.4000   0.2724   1.865E-17   4.88035670E+00   1.20547529E+01
     305       4270.45     0.3767   1.044E+01   1.4000   0.2746   2.537E-17   4.87900120E+00   1.20497246E+01
     310          4320     0.2101   1.030E+01   1.4000   0.2713   2.429E-17   4.87762275E+00   1.20450051E+01
     315       4371.75     0.3806   8.248E+00   1.1040   0.2080   2.255E-17   4.87618139E+00   1.20403706E+01
     320       4422.54     0.3764   1.066E+01   1.4000   0.2434   2.472E-17   4.87476544E+00   1.20360379E+01
     325       4471.91     0.3777   1.063E+01   1.4000   0.2544   2.082E-17   4.87338828E+00   1.20319487E+01
     330       4521.97     0.3795   1.105E+01   1.4000   0.2604   2.143E-17   4.87199012E+00   1.20278051E+01
     335       4571.54     0.3802   1.169E+01   1.4000   0.2781   2.120E-17   4.87060442E+00   1.20236064E+01
     340          4620     0.1875   1.194E+01   1.4000   0.2744   2.168E-17   4.86924749E+00   1.20194029E+01
     345       4679.83     0.3678   1.720E-01   0.0201   0.0044   2.147E-17   4.86756853E+00   1.20143829E+01
     350       4727.04     0.3688   1.172E+01   1.4000   0.2976   2.342E-17   4.86624055E+00   1.20107068E+01
     355       4775.03     0.3771   1.158E+01   1.4000   0.3037   2.277E-17   4.86488829E+00   1.20071667E+01
     360       4823.41     0.3835   1.153E+01   1.4000   0.2891   1.952E-17   4.86352189E+00   1.20036538E+01
     365       4871.21     0.3818   1.110E+01   1.4000   0.2803   2.125E-17   4.86217004E+00   1.20001529E+01
     370          4920     0.2099   1.066E+01   1.4000   0.2839   2.613E-17   4.86078794E+00   1.19964572E+01
     375       4972.81     0.4262   7.186E+00   0.9619   0.2021   2.429E-17   4.85928955E+00   1.19921209E+01
     380       5022.19     0.3763   1.070E+01   1.4000   0.2950   1.949E-17   4.85788629E+00   1.19878049E+01
     385       5072.88     0.3655   1.120E+01   1.4000   0.2944   2.602E-17   4.85644317E+00   1.19830989E+01
     390       5122.33     0.3662   1.114E+01   1.4000   0.2901   2.559E-17   4.85503235E+00   1.19783276E+01
     395       5170.83     0.3846   1.109E+01   1.4000   0.2847   2.082E-17   4.85364656E+00   1.19735738E+01
     400          5220     0.2144   1.082E+01   1.4000   0.3071   2.529E-17   4.85224049E+00   1.19686465E+01
     405       5273.71     0.3798   6.292E+00   0.8118   0.1814   2.266E-17   4.85070510E+00   1.19629942E+01
     410       5323.61     0.3942   1.092E+01   1.4000   0.3080   2.082E-17   4.84928041E+00   1.19576571E+01
     415        5372.6     0.3756   1.094E+01   1.4000   0.3091   2.082E-17   4.84788415E+00   1.19524352E+01
     420       5421.42     0.3560   1.073E+01   1.4000   0.3198   2.255E-17   4.84649682E+00   1.19473751E+01
     425       5470.63     0.3875   1.080E+01   1.4000   0.3303   2.125E-17   4.84510338E+00   1.19423998E+01
     430          5520     0.1998   1.107E+01   1.4000   0.3324   2.429E-17   4.84371228E+00   1.19373765E+01
     435       5574.45     0.3785   5.552E+00   0.7293   0.1564   2.233E-17   4.84218827E+00   1.19316900E+01
     440       5622.22     0.3560   1.069E+01   1.4000   0.2906   1.941E-17   4.84086232E+00   1.19267861E+01
     445       5670.92     0.3867   1.033E+01   1.4000   0.2807   1.952E-17   4.83952380E+00   1.19217667E+01
